GEM location ID,bus_id
L100000912849,gen0
L100000912883,gen0
L100000912889,gen0
L100000912925,gen2
L100000912950,gen2
L100000912951,gen3
L100000913049,gen1
L100000913050,gen1
L100000913065,gen2
L100000913081,gen2
L100000913093,gen0
L100000913110,gen0
L100000913176,gen0
L100000913179,gen3
L100000913180,gen2
L100000913182,gen1
L100000913216,gen0
L100000913232,gen0
L100000913255,gen0
L100000913325,gen1
L100000913348,gen0
L100000913365,gen3
L100000913380,gen0
L100000913390,gen3
L100000913423,gen3
L100000913461,gen1
L100000913462,gen1
L100000913465,gen0
L100000913487,gen0
L100000913531,gen0
L100000913543,gen0
L100000913584,gen3
L100000913587,gen0
L100000913648,gen2
L100000913680,gen2
L100000913711,gen0
L100000913718,gen0
L100000913720,gen0
L100000913740,gen2
L100000913746,gen0
L100000913754,gen0
L100000913821,gen0
L100000913841,gen0
L100000913849,gen0
L100000913859,gen2
L100000913904,gen0
L100000913931,gen0
L100000914019,gen2
L100000914024,gen0
L100000914043,gen0
L100000914091,gen0
L100000914093,gen0
L100000914104,gen2
L100000914122,gen0
L100000914158,gen0
L100000914161,gen0
L100000914168,gen0
L100000914169,gen0
L100000914179,gen0
L100000914197,gen2
L100000914213,gen0
L100000914255,gen0
L100000914308,gen0
L100000914313,gen0
L100000914317,gen0
L100000914317,gen1
L100000914318,gen0
L100000914378,gen0
L100000914383,gen1
L100000914394,gen0
L100000914400,gen0
L100000914416,gen2
L100000914473,gen1
L100000914497,gen0
L100000914587,gen2
L100000914596,gen0
L100000914631,gen2
L100000914725,gen0
L100000914740,gen0
L100000914751,gen0
L100000914755,gen2
L100000914765,gen1
L100000914771,gen2
L100000914775,gen0
L100000914842,gen2
L100000914995,gen0
L100000915120,gen0
L100000915129,gen0
L100000915155,gen0
L100000915161,gen3
L100000915167,gen0
L100000915171,gen0
L100000915177,gen0
L100000915202,gen0
L100000915209,gen0
L100000915221,gen0
L100000915238,gen2
L100000915240,gen0
L100000915304,gen0
L100000915305,gen1
L100000915306,gen0
L100000915313,gen0
L100000915367,gen0
L100000915368,gen2
L100000915410,gen0
L100000915414,gen3
