bus_id,station_id,x,y,tags,voltage
dem4,dem4,13.14409811197323,41.55483043929429,demand4,300
dem3,dem3,8.879275866848475,45.13609542868982,demand3,300
dem0,dem0,14.355204238965403,37.6944704257342,demand0,300
dem1,dem1,11.543990376381304,44.73043924601098,demand1,300
dem2,dem2,16.764318892727413,40.64169937344969,demand2,300
gen0,gen0,16.52403443660564,40.62687662247433,generation0,300
gen1,gen1,12.432057162183451,43.61308173753809,generation1,300
gen2,gen2,13.561509218191066,37.53256925325977,generation2,300
gen3,gen3,9.155058184123932,40.26841954759524,generation3,300
gen4,gen4,9.472069696553895,45.32640660134931,generation4,300
sol1,sol1,8.674554146060505,45.79229491681119,solar1,300
sol2,sol2,8.458928868644024,45.13838471633307,solar2,300
sol3,sol3,7.970134069271406,43.98996109117364,solar3,300
sol4,sol4,7.601992525386379,44.83457816252089,solar4,300
sol5,sol5,10.525755044508506,46.68792218234727,solar5,300
sol6,sol6,9.478694828291635,45.79417222515892,solar6,300
sol7,sol7,10.161344390619055,45.1274121534543,solar7,300
sol8,sol8,10.84266322189022,42.97288719619846,solar8,300
sol9,sol9,10.73941079195711,43.639783005492575,solar9,300
sol10,sol10,8.865387467192091,40.40725509780449,solar10,300
sol11,sol11,8.707682835084151,39.04369909068866,solar11,300
sol12,sol12,12.821456429445876,37.75679309395847,solar12,300
sol13,sol13,14.605436927160916,37.19413267435348,solar13,300
sol14,sol14,16.50850453118611,39.02496401808193,solar14,300
sol15,sol15,17.851672738573555,40.37442657864501,solar15,300
sol16,sol16,16.424857931493275,40.927380265785665,solar16,300
sol17,sol17,13.220642488250915,45.943573524022945,solar17,300
sol18,sol18,12.230260874077894,45.82381577724566,solar18,300
sol19,sol19,14.996509110051967,41.75431533648968,solar19,300
sol20,sol20,12.2442991812705,42.215337001420515,solar20,300
sol21,sol21,13.811343516229638,41.29507916897945,solar21,300
sol22,sol22,11.677568553303713,44.92728769331217,solar22,300
sol23,sol23,13.022336310515552,43.458377190974026,solar23,300
sol24,sol24,11.741104193152998,43.27618523435419,solar24,300
won25,won25,12.575999999999993,45.78860181862273,wind_onshore25,300
won26,won26,10.687036179648622,42.762006204358066,wind_onshore26,300
won27,won27,11.65920487481382,42.626731534659484,wind_onshore27,300
won28,won28,8.707682835084151,44.43962127303592,wind_onshore28,300
won29,won29,10.73397716629684,43.54180961518004,wind_onshore29,300
won30,won30,11.773407696538346,43.989961091173654,wind_onshore30,300
won31,won31,12.242745017913906,43.31344820011166,wind_onshore31,300
won32,won32,13.7072635339174,43.1650711946002,wind_onshore32,300
won33,won33,12.802292803272655,43.8155414716864,wind_onshore33,300
won34,won34,14.926456361827096,41.7714616796634,wind_onshore34,300
won35,won35,16.553561057325823,40.66245914407626,wind_onshore35,300
won36,won36,15.276234479547758,40.962846614761794,wind_onshore36,300
won37,won37,15.85351209015033,39.52443284189594,wind_onshore37,300
won38,won38,13.136590550133658,41.38723254344063,wind_onshore38,300
won39,won39,9.0485813626997,40.12530953078364,wind_onshore39,300
won40,won40,13.429102290521142,37.348929063901494,wind_onshore40,300
won41,won41,14.157661964492466,37.6579524131925,wind_onshore41,300
won42,won42,15.660339621670584,38.073394369908534,wind_onshore42,300
won43,won43,16.20699037245245,38.74864961135933,wind_onshore43,300
wof44,wof44,15.560780426873855,42.526462924822795,wind_offshore44,300
wof45,wof45,14.327244159780069,43.80798448434151,wind_offshore45,300
wof46,wof46,17.130557179253813,41.60399904849962,wind_offshore46,300
wof47,wof47,17.289706059093778,38.88723180837691,wind_offshore47,300
wof48,wof48,18.48995982302946,40.40323493637616,wind_offshore48,300
wof49,wof49,8.641496677783328,41.17882965390969,wind_offshore49,300
wof50,wof50,9.863146001232906,41.12482402692154,wind_offshore50,300
wof51,wof51,11.528388402454285,41.8371265139263,wind_offshore51,300
wof52,wof52,10.353772583880287,42.41172486444755,wind_offshore52,300
wof53,wof53,9.670224643884868,43.33225911660129,wind_offshore53,300
wof54,wof54,8.522674564680194,43.939797374028196,wind_offshore54,300
wof55,wof55,13.456363213899907,40.64884756478126,wind_offshore55,300
wof56,wof56,15.028228867854429,38.858875978516146,wind_offshore56,300
wof57,wof57,12.539303442399591,38.304445043301136,wind_offshore57,300
wof58,wof58,11.118876841730234,37.870090496128995,wind_offshore58,300
wof59,wof59,8.375888024426818,39.33205138167357,wind_offshore59,300
wof60,wof60,14.421908482299065,36.44290935157919,wind_offshore60,300
wof61,wof61,12.741823546815965,35.686406457108475,wind_offshore61,300
wof62,wof62,12.49311749896317,36.83381441549632,wind_offshore62,300
